Row ID,Order Date,State,Category,Sub-Category,Product Name,Sales
34,17/09/2016,Pennsylvania,Office Supplies,Art,Lumber Crayons,15.76
35,19/10/2018,Texas,Office Supplies,Paper,Easy-staple paper,29.472
36,08/12/2017,Texas,Technology,Phones,GE 30524EE4,1097.544
37,08/12/2017,Texas,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,27/12/2016,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,27/12/2016,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,27/12/2016,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
41,27/12/2016,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
42,10/09/2018,Illinois,Technology,Phones,Panasonic Kx-TS550,147.168
43,17/07/2017,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
44,19/09/2018,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,11/03/2017,Minnesota,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,11/03/2017,Minnesota,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,20/10/2015,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,20/06/2017,Delaware,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
49,20/06/2017,Delaware,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,18/04/2016,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,18/04/2016,Indiana,Office Supplies,Labels,Avery 485,75.18
52,18/04/2016,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
53,18/04/2016,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
54,11/12/2017,New York,Office Supplies,Fasteners,Advantus Push Pins,15.26
55,11/12/2017,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
56,17/06/2017,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56
57,17/06/2017,New York,Office Supplies,Paper,Xerox 232,32.4
58,17/06/2017,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41
59,17/06/2017,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
60,17/06/2017,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
61,17/06/2017,New York,Office Supplies,Binders,Plastic Binding Combs,48.48
62,17/06/2017,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
63,24/11/2016,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,24/11/2016,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
65,24/11/2016,California,Office Supplies,Paper,Xerox 1943,146.73
66,24/11/2016,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
67,30/04/2016,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
68,05/12/2015,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,05/12/2015,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
70,04/06/2017,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,18/09/2017,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,14/09/2018,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
73,26/04/2016,Tennessee,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
74,26/04/2016,Tennessee,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
75,26/04/2016,Tennessee,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
76,09/12/2018,Texas,Office Supplies,Binders,Economy Binders,1.248
77,09/12/2018,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
78,09/12/2018,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
79,26/11/2015,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
80,12/06/2017,Alabama,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
81,12/06/2017,Alabama,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
82,12/10/2015,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
83,12/10/2015,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
84,03/09/2016,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
85,13/11/2018,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
86,28/05/2018,South Carolina,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
87,26/10/2018,Minnesota,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
88,26/10/2018,Minnesota,Office Supplies,Labels,Avery 511,6.16
89,05/04/2017,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
90,17/09/2017,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
91,17/09/2017,California,Technology,Phones,Panasonic Kx-TS550,73.584
92,17/09/2017,California,Office Supplies,Paper,Xerox 1995,6.48
93,31/01/2016,Minnesota,Office Supplies,Paper,Xerox 1999,12.96
94,31/01/2016,Minnesota,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
95,31/01/2016,Minnesota,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
96,06/11/2018,Oregon,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,09/11/2018,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
98,17/06/2018,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
99,06/09/2017,Minnesota,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
100,29/08/2017,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
101,29/08/2017,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
102,29/08/2017,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
103,01/12/2017,Minnesota,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,13/11/2016,Colorado,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,13/11/2016,Colorado,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
106,13/11/2016,Colorado,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
107,23/11/2018,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
108,23/11/2018,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.992
109,23/11/2018,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.304
110,15/10/2016,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
111,25/12/2018,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
112,03/11/2017,Iowa,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
113,03/11/2017,Iowa,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
114,25/08/2015,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
115,25/08/2015,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
116,25/08/2015,Ohio,Office Supplies,Paper,Xerox 1921,23.976
117,25/08/2015,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
118,02/03/2016,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53
119,05/04/2016,Tennessee,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
120,12/06/2017,Delaware,Furniture,Furnishings,Artistic Insta-Plaque,47.04
121,12/06/2017,Delaware,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
122,12/06/2017,Delaware,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
123,12/06/2017,Delaware,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
124,12/06/2017,Delaware,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
125,26/12/2015,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
126,20/09/2015,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
127,05/11/2018,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
128,05/11/2018,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
129,06/11/2017,California,Furniture,Chairs,"Global Task Chair, Black",81.424
130,06/11/2017,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
131,02/02/2018,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
132,02/02/2018,Ohio,Office Supplies,Paper,Xerox 1916,78.304
133,02/02/2018,Ohio,Office Supplies,Fasteners,Staples,21.456
134,13/10/2017,California,Office Supplies,Paper,Xerox 195,20.04
135,13/10/2017,California,Office Supplies,Paper,Xerox 1880,35.44
136,13/10/2017,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
137,13/10/2017,California,Office Supplies,Fasteners,Ideal Clamps,4.02
138,13/10/2017,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176
139,13/10/2017,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
140,13/10/2017,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
141,05/09/2017,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
142,18/09/2018,California,Office Supplies,Art,Newell 343,8.82
143,18/09/2018,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
144,18/09/2018,California,Office Supplies,Paper,Xerox 1911,143.7
145,22/12/2018,Missouri,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
146,07/09/2016,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
147,22/10/2015,Ohio,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
148,05/12/2017,Wisconsin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
149,05/12/2017,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
150,05/12/2017,Wisconsin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
151,05/12/2017,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
152,13/03/2017,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
153,13/03/2017,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184
154,31/05/2016,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
155,31/05/2016,California,Office Supplies,Paper,Xerox 1883,105.52
156,31/05/2016,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
157,28/05/2016,Washington,Office Supplies,Art,Newell 311,6.63
158,01/03/2015,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568
159,20/11/2017,Oklahoma,Office Supplies,Labels,Avery 519,14.62
160,20/11/2017,Oklahoma,Technology,Phones,Avaya 5420 Digital phone,944.93
161,11/05/2017,California,Office Supplies,Paper,Xerox 1920,5.98
162,28/12/2016,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384
163,16/11/2017,New Mexico,Office Supplies,Envelopes,Staple envelope,28.4
164,07/11/2017,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
165,08/09/2015,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
166,08/09/2015,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952
167,08/09/2015,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928
168,08/09/2015,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06
169,08/09/2015,Texas,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
170,08/09/2015,Texas,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98
171,08/09/2015,Texas,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976
172,05/08/2015,California,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
173,05/08/2015,California,Office Supplies,Paper,Xerox 1913,110.96
174,05/08/2015,California,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144
175,14/09/2015,Illinois,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448
176,14/09/2015,Illinois,Office Supplies,Labels,Avery 51,20.16
177,21/04/2018,Texas,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
178,21/11/2016,Ohio,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802
179,21/11/2016,Ohio,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
180,15/12/2016,New York,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
181,05/12/2015,Illinois,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816
182,05/12/2015,Illinois,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744
183,19/11/2015,Louisiana,Technology,Phones,AT&T TR1909W,503.96
184,19/11/2015,Louisiana,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
185,19/11/2015,Louisiana,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29
186,28/11/2017,Connecticut,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
187,26/08/2015,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8
188,16/07/2017,Texas,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224
189,16/07/2017,Texas,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016
190,12/10/2016,New York,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136
191,12/10/2016,New York,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76
192,12/10/2016,New York,Office Supplies,Paper,Xerox 205,51.84
193,12/10/2016,New York,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352
194,12/10/2016,New York,Office Supplies,Art,4009 Highlighters by Sanford,19.9
195,31/10/2016,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28
196,21/03/2015,Ohio,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
197,21/03/2015,Ohio,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048
198,06/11/2018,New Jersey,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26
199,06/07/2018,Pennsylvania,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946
200,06/07/2018,Pennsylvania,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056
201,24/06/2018,Ohio,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744
202,03/08/2015,Colorado,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
203,03/08/2015,Colorado,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
204,17/12/2018,Texas,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284
205,03/06/2018,Tennessee,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168
206,09/12/2018,California,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768
207,01/12/2018,Michigan,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
208,01/12/2018,Michigan,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
209,01/12/2018,Michigan,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
210,01/12/2018,Michigan,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29
211,01/12/2018,Michigan,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
212,09/02/2016,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8
213,02/01/2016,Ohio,Office Supplies,Labels,Avery 505,23.68
214,02/01/2016,Ohio,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
215,02/01/2016,Ohio,Technology,Phones,Speck Products Candyshell Flip Case,62.982
216,02/01/2016,Ohio,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188
217,02/01/2016,Ohio,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
218,28/10/2017,California,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06
219,28/10/2017,California,Technology,Phones,Adtran 1202752G1,302.376
220,24/12/2016,Ohio,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584
221,24/12/2016,Ohio,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704
222,24/12/2016,Ohio,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776
223,24/12/2016,Ohio,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704
224,24/12/2016,Ohio,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988
225,24/12/2016,Ohio,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168
226,09/08/2016,Michigan,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
227,09/08/2016,Michigan,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45
228,09/08/2016,Michigan,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
229,28/02/2016,Tennessee,Furniture,Chairs,Global Low Back Tilter Chair,161.568
230,28/02/2016,Tennessee,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",389.696
231,13/09/2015,North Carolina,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648
232,07/04/2018,Florida,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
233,07/04/2018,Florida,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145
234,07/04/2018,Florida,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328
235,07/04/2018,Florida,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072
236,07/04/2018,Florida,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976
237,12/11/2018,California,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56
238,04/06/2017,Illinois,Office Supplies,Paper,Xerox 1957,25.92
239,04/06/2017,Illinois,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68
240,04/06/2017,Illinois,Furniture,Furnishings,Staple-based wall hangings,11.688
241,04/06/2017,Illinois,Technology,Phones,PureGear Roll-On Screen Protector,31.984
242,04/06/2017,Illinois,Furniture,Tables,KI Conference Tables,177.225
243,04/06/2017,Illinois,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044
244,04/06/2017,Illinois,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
245,01/06/2015,Minnesota,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86
246,01/06/2015,Minnesota,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72
247,01/06/2015,Minnesota,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88
248,01/06/2015,Minnesota,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
249,01/06/2015,Minnesota,Office Supplies,Paper,Xerox 205,25.92
250,10/12/2017,California,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568
251,11/09/2017,California,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61
252,11/09/2017,California,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37
253,10/12/2017,New York,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58
254,10/12/2017,New York,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92
255,28/11/2016,Illinois,Furniture,Furnishings,Eldon 100 Class Desk Accessories,12.132
256,28/11/2016,Illinois,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368
257,28/11/2016,Illinois,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53.92
258,28/11/2016,Illinois,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904
259,01/12/2018,New York,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37
260,01/12/2018,New York,Office Supplies,Storage,Safco Industrial Shelving,221.55
261,01/12/2018,New York,Office Supplies,Binders,Acco 3-Hole Punch,17.52
262,08/06/2018,Texas,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
263,19/09/2015,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
264,19/09/2015,Texas,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
265,06/06/2017,Illinois,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224
266,10/11/2016,California,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9
267,16/06/2018,North Carolina,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.016
268,22/01/2017,New Jersey,Office Supplies,Fasteners,Bagged Rubber Bands,7.56
269,09/12/2018,Ohio,Office Supplies,Storage,Safco Commercial Shelving,37.208
270,09/12/2018,Ohio,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576
271,28/12/2018,California,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84
272,30/07/2016,California,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93
273,30/07/2016,California,Furniture,Furnishings,Regeneration Desk Collection,5.28
274,30/07/2016,California,Office Supplies,Binders,Presstex Flexible Ring Binders,10.92
275,16/09/2018,California,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82
276,16/09/2018,California,Office Supplies,Art,Newell 330,5.98
